"","0.05 - adjusted","0.01 - adjusted","0.001 - adjusted","1e-04 - adjusted"
"RetR.Rods",0.0517464316827889,0.476419528582519,1,1
"Hyp",0.0220738135895214,1,1,1
"Hyp.Hcrt",0.220827277214596,0.476419528582519,1,1
"BF",0.000417903572426265,0.298914479477345,1,1
"BF.Chat",0.0357586128234955,1,1,1
"BS",0.06739438016978,1,1,1
"BS.chat",0.754964301377718,1,1,1
"BS.Slc6a4",0.220827277214596,1,1,1
"Cb",0.00097022146314883,1,1,1
"Cb.septin4",0.999977603094352,1,1,1
"Cb.pcp2",0.00097022146314883,0.0689470563084355,1,1
"Cb.Neurod1",0.761951874130107,1,1,1
"Cb.Lypd6",4.16754395687388e-09,4.62891921964838e-05,1,1
"Cb.grp",0.927824599161599,1,1,1
"Cb.Grm2",0.000329684837004019,1,1,1
"Cb.Aldh1L1",0.999977603094352,1,1,1
"Cb.cnp",0.999977603094352,1,1,1
"Cpu",0.000440622122643312,0.203557254480656,1,1
"Cpu.D2",0.000329684837004019,0.0803498791342525,1,1
"Cpu.D1",0.0185724290545785,0.203557254480656,1,1
"Cpu.Chat",0.0247334206535717,0.0689470563084355,0.215204835328123,1
"Ctx",0.0115115500170912,1,1,1
"Ctx.pdgfrajd340",0.999977603094352,1,1,1
"Ctx.etv1_ts88",0.753308168155243,1,1,1
"Ctx.pnoc",3.18572939168462e-09,3.19301675295449e-05,0.024131901692493,0.126990286344812
"Ctx.Ntsr",0.00097022146314883,1,1,1
"Ctx.glt25d2",0.0213636910929141,1,1,1
"Ctx.Aldh1L1",0.999977603094352,1,1,1
"Ctx.cort",7.86279748133886e-11,1.42134391936769e-06,0.016922681177422,0.00761512056016225
"Ctx.cnp",0.999977603094352,1,1,1
"Epi",0.00817756008814921,1,1,1
"Epi.Chat",0.961667666406668,1,1,1
"Spc",0.0247334206535717,1,1,1
"Spc.Chat",0.112037148878777,1,1,1
"RetC.Cones",0.578626077373642,1,1,1
